id	SA	LRH10	LRH15	LRH30	LRH5	LRT10	LRT15	LRT30	LRT5	SR5	SRT5	TH	THNS	THwoT	THwoT10	THwoTM20	TT	TTN	CCF_1	CCF_2	CCF_3	CCF_4	CCF_1_5	CCF_2_5	CCF_3_5	CCF_4_5	CCF_1_10	CCF_2_10	CCF_3_10	CCF_4_10	CCF_1_15	CCF_2_15	CCF_3_15	CCF_4_15	CCF_1_20	CCF_2_20	CCF_3_20	CCF_4_20	CCF_1_25	CCF_2_25	CCF_3_25	CCF_4_25	CCF_1_30	CCF_2_30	CCF_3_30	CCF_4_30	CCF_1_35	CCF_2_35	CCF_3_35	CCF_4_35	CCF_1_40	CCF_2_40	CCF_3_40	CCF_4_40	CCF_1_45	CCF_2_45	CCF_3_45	CCF_4_45
6667291	18833493.917912	13469107.367534535	13915903.018727107	15346390.797782017	13001074.51134913	9904126.36965384	10154858.048652219	11136145.69017307	9723826.151014717	12293903.461793788	9581498.114207773	12668347.475283414	12726513.403432991	12873437.955892108	13448565.16066973	12303998.24140374	9698257.210752329	9774543.955907494	12059783.937770786	12059421.179018172	12110719.627436714	12414723.527199704	11931702.959427875	11931184.099027554	11963250.254494999	12312345.538649414	11853711.936670385	11854504.323867567	12112333.587524485	12175158.93101816	11855062.419035777	11855137.321764737	12112642.50314774	12177639.312602505	11869067.338507734	11867483.246461099	12038430.765345322	12169407.827703405	11998506.522092827	11998949.208109656	12252379.866814986	12459529.009553846	12059570.82940789	12058946.360805668	12367433.817331627	12536168.27831126	11707369.826637344	11707827.710310536	11982191.062600246	12212463.74964836	11938146.796737947	11938053.160563413	12283345.898051785	12475264.259747354	12149941.521858007	12270195.83123827	12448852.066668374	12654975.460653812
6667292	13243535.78981791	10693872.513418488	11192302.269338014	12658575.310495526	10293610.1484472	7999408.868230826	8299294.341024729	9226533.638208538	7782983.134961516	9519080.293259224	7568034.179490762	9910169.585817112	9911180.911432562	9987830.063208947	10693932.797792919	9365004.51065129	7604115.166650135	7638232.303515547	8109152.137350024	8143494.062338316	8325981.302490528	8790121.148421273	8108519.845793493	8143145.0442166105	8326277.895300226	8790831.336227069	8109224.762661838	8143480.8692134395	8326266.7537378315	8791147.02434909	8108669.720322317	8143414.887806803	8326137.83670679	8790792.151382677	8108491.723606258	8143441.731713809	8326376.338736799	8790433.680293322	8109036.634383373	8142967.584063047	8326040.213897232	8790779.810447315	8619158.513160262	8690004.299678935	8790541.024354808	8790560.245917127	8835383.650963727	8912588.460547367	8912737.119920963	8912721.054608615	9247270.437230512	9247006.164420508	9247091.888169698	9247574.63660264	9639026.913689356	9639129.586500889	9639417.941498166	9639271.649312047
6667330	8300320.376534945	7119539.865252039	7334642.787495364		6879459.582466343	5039549.524559008	5187608.662790169	5145278.385106145	4884114.537459771	6621693.802063859	4724708.21663187	6621786.032845309	6628518.207325943	6621627.555031582	7119624.004943305	6621564.094719328	4724817.600150545	4731657.59181297	5367046.754329069	5367013.390574861	5367110.6951027	5495103.997405056	5367029.5727638425	5366912.741979551	5366768.639789816	5494809.373962987	5366730.356039222	5366973.915265438	5366682.482133458	5494627.545368877	5367191.894326399	5366776.423386146	5366813.938391648	5495013.669277425	5366734.661038059	5366776.538699879	5367018.733387444	5495077.071939577	5534654.820995776	5534425.156922334	5534803.593331992	5534424.522707264	5500521.916866538	5500469.622644517	5500177.324673695	5568506.670108355	5650528.837006595	5650651.913878583	5650869.931386884	5650782.217005603	5662471.637501845	5662404.179683378	5662298.226716676	5763232.700939462	5799738.313534384	5800052.290266614	5799782.459005049	5836013.512539365
6667332	16791924.174105465	14006205.27729299			13546842.955915418	9546234.715841236	9458449.190883957	9458617.404562052	9225602.48206741	12500131.287937483	8548328.681952856	13033636.118287206	13039697.00047682	13033745.874928873	14006205.27729299	11094560.3934028	8883766.114540072	8893271.684321517	10266707.122553267	10267403.47413396	10344314.992942264	10524203.736312585	10267597.836635388	10267162.31748521	10343268.840182379	10524282.09725213	10267212.362408392	10267397.599913234	10343954.612462275	10525176.461336177	10265834.686987244	10266704.328020118	10343736.154251616	10524359.830842437	10267523.895621482	10267319.296008587	10344477.64606969	10523570.803485371	10267050.45068906	10266984.893267298	10343318.3718243	10524940.49453496	10276171.572798735	10276705.69898639	10401067.333093356	10586152.136759344	10457856.829110272	10457802.421296349	10646974.968426695	10786159.68065717	10650964.903296573	10651189.948614953	10739473.926702954	10887356.532129442	10839545.922288287	10839969.037143093	10944241.897680113	11092951.114065703
6667333	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6667397	10024848.600777028	7444547.873776113	7443034.048795108	7370811.101265716	7516026.748661442					6991298.990402594		7262911.483089273	7332489.229871555	9845937.299896894	10134698.999396795	9846202.602236368			7483920.207658995	7522891.3743575085	7757453.080789377	7955914.698611706	7542054.002242068	7524937.318081838	7764227.768204371	7956610.722040473	7546660.759996764	7565372.79101198	7802464.584912101	7982910.967022973	7546465.802186712	7566228.444126242	7808338.909838394	7985299.6826180015	7564291.334775548	7652117.497736061	7857399.877972809	8030954.782045151	7646886.946239191	7690428.473817859	7864954.070065523	8095067.876553199	7683001.522348548	7746374.537178384	7883077.48702562	8165613.836605532	7759297.505766233	7837053.342290604	7944861.537812895	8161551.844469001	7850557.413996163	7878202.027711796	8022485.621213917	8180078.952049034	7909174.164823176	7956548.734541251	8122893.524641562	8220929.664036466
6667398	10192402.797252541	8315768.817424753	8629092.733226394	8192431.730593294	7971086.624293086					7317604.072835259		7627053.266157903	7687923.415827959	9429326.586388761	10311439.860358186	9426894.568901945			7843178.927486406	7775884.035351172	7717851.088165737	8037143.438935029	7601450.73879668	7720519.440651274	7761157.097931	8019740.944029357	7631264.753635075	7727868.458111438	7773667.177863187	8084555.088678036	7634083.641119795	7730072.803099491	7776662.862846951	8086423.576167906	7707716.375720673	7779149.85283347	7860183.139894232	8082743.801187851	7726771.043117386	7866270.732361234	7904701.899652921	8075120.828729172	7820411.430109812	7912110.262112764	7986804.551707887	8153600.685803777	7940060.65696126	8008666.474089384	8111972.066029422	8263264.002709351	8041255.266412739	8147060.690839226	8188968.188112066	8394348.829498813	8173890.790693795	8237514.487848925	8299113.360015031	8536543.79372805
6667449	0.0	0.0	0.0	0.0	0.0					0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6667478	23219259.672239777	16484739.849314388	16973340.552294303	18669767.03774773	16070210.823667206	12581241.714188553	12777115.081239365	13930827.39485836	12553897.820836496	15592123.378966907	12333846.392583746	15876282.104389532	15944338.46648994	15832790.518477635	16484707.821507448	15621038.540095167	12437987.303827208	12529945.30370891	15366973.654853221	15367095.05891644	15709071.68440573	15659919.549833925	15240614.33206081	15237806.401793022	15469338.748940933	15634128.42989605	15071582.09709929	15071665.361473039	15147936.956572533	15566133.464357221	15069776.554001404	15071407.789606987	15148221.039698346	15563272.670340216	15013355.733288758	15014399.197023088	15222535.922017267	15610304.222448954	15138747.474840619	15138151.844849564	15380411.405586377	15609649.100893749	15164794.341014491	15163693.409775944	15550425.747408153	15786137.108868303	15305085.325467605	15511492.62799284	15689512.335319389	15837893.259341046	15556786.066062633	15654277.257413575	15828312.657294884	16031104.865189448	15781009.483945312	15895534.39128537	16077200.705122195	16165001.439428627
6667479	0.0	0.0	0.0		0.0					0.0		0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6667480	9505493.25	7918159.437499	8206641.499999		7611520.906249	6357338.187499	6584774.0781229995	6736168.312499	6127926.562496999	7056343.968749	5776524.1718770005	7317875.906249	7325052.281249	7318756.531249	7918238.781249	6638287.843751	5928030.093749	5938143.515625	6214819.703125	6214635.546875	6318980.140625	6873273.015625	6214236.03125	6215559.84375	6318345.71875	6873897.65625	6214776.312499	6214852.562499	6318470.781249	6873557.374999	6214816.296874	6214608.953124	6318075.265624	6873289.296874	6214894.515624	6214824.421874	6318238.265624	6873694.671874	6214563.531249	6214598.843749	6318606.374999	6873890.593749	6214978.515625	6213963.109375	6318385.734375	6873107.078125	6426554.109375	6494948.921875	6610718.390625	6873205.109375	6538439.171874	6538098.046874	6645006.171874	6828140.171874	6608152.718749	6636928.062499	6783692.937499	6849860.874999
6667481	12929530.655507473	10493589.372148551	10855945.122404458		10103970.934902402	8049631.466675171	8301186.571346586	8479702.126991794	7801277.388893207	9403409.76675152	7451535.1735577	9733203.651210021	9746016.88300169	9733176.278554283	10493468.804963306	8870922.641549185	7592302.442413828	7613377.793579711	8606023.725805528	8605511.653940102	8716554.190926325	8836152.894158814	8606010.577365723	8605696.32971535	8716002.594059087	8836411.599620176	8605867.359007752	8605800.222290255	8716935.635055993	8836121.278139956	8605611.462529438	8605047.832852475	8716721.2557644	8836304.738684675	8605195.852380957	8605853.274243666	8715965.300309785	8836486.744931271	8551179.980345348	8550248.672550261	8664170.717295144	8760169.09128141	8477102.680946648	8476808.912983391	8570169.829987725	8760364.84361895	8482813.764433613	8482908.672244338	8593725.175641038	8790885.713360772	8754132.225377388	8753733.309759848	8804365.511156876	8923423.255805729	8718622.06158696	8718073.213940972	8809844.604412528	8809359.626296595
6667517	15940219.794445287	12407733.87355638	12221476.680877222	12249133.03807449	12583504.64814216					11684203.601596436		12152669.176465712	12203413.333551567	16564623.083425447	16610070.66521237	16563965.008344315			12178635.368333608	11847613.844712002	12121583.385624306	12745723.153667044	12192823.267564725	11914943.84629345	12395920.27091598	12774971.771202156	12129454.105092848	12023425.296020225	12230476.016293466	12859075.87876421	12130127.753694605	12024739.23931709	12231291.556928162	12856176.295761	12038624.445575863	12084029.294240488	12385228.513132658	12954008.570361208	12150451.6181549	12183981.824022144	12467113.306918336	12766873.39251216	12216467.525970729	12364733.114295328	12587296.26006543	12919539.1385453	12297126.902241845	12456710.649763457	12740310.491727713	13105854.81341586	12484779.843065802	12615158.60899032	12932831.146828273	13160933.097507956	12696494.542925723	12798773.219297526	13142436.324944373	13236158.344964484
6667518	4980501.845426257	3760212.885188702	3921378.835526701	4399867.161099981	3618398.0435153325	2852361.9159926823	2922584.0540417447	3220201.8912477605	2778514.5005755634	3327188.1985742543	2719040.5508817085	3470106.683330579	3488498.765781428	3489579.3257417907	3760212.332689762	3176851.808462958	2726618.4293542514	2727929.146181171	3108326.2109771813	3108462.483471143	3306877.543693785	3425635.919337407	3108237.4697314776	3107816.879121386	3306921.3699421766	3425193.797479145	3108403.552851945	3108313.6253531636	3307112.3399362117	3424808.144368812	3108040.080989758	3108295.563480386	3307148.3093104116	3425542.506217393	3295811.95222522	3294752.9235140677	3307528.965546448	3425411.612471155	3280656.6177811576	3280874.7415231573	3320361.2163246865	3425485.598718441	3352747.49763563	3352810.5638833167	3338666.320652166	3463277.507331092	3397082.7691348135	3362346.6404090286	3438292.832623117	3528747.9993049772	3435697.3583438466	3473773.966947094	3517816.6815814883	3554561.651483584	3558344.0338437953	3558326.7763444297	3601525.417259786	3611381.106898253
